epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,13944.5,1.68681,3.57051,1.43845,1.47228,0.24378,0.26268,0.18216,0.08844,0.05987,0.08939,0.02799,0.00916,1.80611,3.91644,1.79145,1.59559,0.00134,0.00134,0.00134
102,14079,1.68621,3.54881,1.43065,1.46724,0.28162,0.29377,0.21572,0.10356,0.06144,0.07228,0.0246,0.00774,1.77919,3.82866,1.65925,1.59378,0.0013334,0.0013334,0.0013334
103,14216.1,1.69769,3.53661,1.42409,1.45842,0.27882,0.29377,0.2199,0.10495,0.06884,0.08096,0.02913,0.00948,1.78842,3.82555,1.64281,1.56771,0.0013268,0.0013268,0.0013268
104,14349.8,1.69444,3.55667,1.44382,1.4679,0.21383,0.27616,0.15887,0.07689,0.04497,0.08239,0.02088,0.00694,1.80447,3.88121,1.80682,1.60068,0.0013202,0.0013202,0.0013202
105,14484.6,1.68447,3.55327,1.42075,1.45027,0.23797,0.28265,0.17603,0.08417,0.06354,0.09006,0.02917,0.00961,1.78833,3.88842,1.72628,1.59186,0.0013136,0.0013136,0.0013136
106,14618.1,1.70084,3.54132,1.43926,1.45321,0.29192,0.28831,0.22139,0.10547,0.07504,0.09393,0.03327,0.0107,1.79054,3.93156,1.66871,1.60813,0.001307,0.001307,0.001307
107,14749.3,1.7064,3.55207,1.45183,1.47862,0.25403,0.27321,0.18831,0.08961,0.05381,0.08441,0.02605,0.00955,1.79295,3.8656,1.75071,1.57708,0.0013004,0.0013004,0.0013004
108,14886,1.67315,3.55694,1.41145,1.45283,0.27273,0.28003,0.20797,0.10011,0.05779,0.0845,0.02623,0.00875,1.77264,3.85329,1.69768,1.57556,0.0012938,0.0012938,0.0012938
109,15023.2,1.69089,3.49804,1.40521,1.45706,0.28164,0.29452,0.21645,0.10558,0.07076,0.08967,0.03159,0.01073,1.77924,3.86218,1.65197,1.54872,0.0012872,0.0012872,0.0012872
110,15155,1.69023,3.52194,1.40255,1.44659,0.28053,0.27801,0.21254,0.10265,0.07282,0.09402,0.03231,0.01041,1.78934,3.92031,1.70061,1.56159,0.0012806,0.0012806,0.0012806
111,15289.9,1.67449,3.51563,1.39104,1.45433,0.27493,0.28745,0.21707,0.10549,0.06066,0.07818,0.02561,0.00834,1.76837,3.8472,1.67878,1.54771,0.001274,0.001274,0.001274
112,15424.6,1.68994,3.50656,1.36599,1.44313,0.26313,0.26984,0.19616,0.09459,0.07306,0.08568,0.03267,0.01231,1.78463,3.90948,1.7398,1.56528,0.0012674,0.0012674,0.0012674
113,15560.4,1.67202,3.50544,1.37951,1.4473,0.28212,0.29048,0.21692,0.104,0.06061,0.08728,0.02674,0.00932,1.78191,3.84799,1.67481,1.56643,0.0012608,0.0012608,0.0012608
114,15694.7,1.672,3.51907,1.38485,1.4572,0.27515,0.27607,0.20645,0.10042,0.0665,0.08997,0.02981,0.00974,1.77829,3.82172,1.70247,1.58076,0.0012542,0.0012542,0.0012542
115,15829.7,1.68388,3.53678,1.3982,1.46196,0.31559,0.31196,0.24745,0.11725,0.06879,0.08441,0.02836,0.00926,1.76491,3.77701,1.61323,1.55493,0.0012476,0.0012476,0.0012476
116,15962.8,1.67587,3.50775,1.37301,1.4494,0.26342,0.28467,0.20087,0.09653,0.06563,0.09056,0.03479,0.01161,1.78075,3.86819,1.69759,1.55704,0.001241,0.001241,0.001241
117,16099.5,1.66834,3.49004,1.36489,1.4396,0.2853,0.27709,0.21484,0.10321,0.05012,0.07751,0.02322,0.00746,1.77634,3.8926,1.69209,1.57663,0.0012344,0.0012344,0.0012344
118,16236.2,1.67689,3.49067,1.37248,1.44723,0.29751,0.28964,0.23227,0.11135,0.07355,0.09697,0.03269,0.01084,1.77638,3.87662,1.64963,1.58785,0.0012278,0.0012278,0.0012278
119,16371.2,1.66488,3.53454,1.38239,1.45006,0.24018,0.27102,0.17798,0.08703,0.06208,0.08382,0.02732,0.00892,1.79143,3.9019,1.7921,1.57133,0.0012212,0.0012212,0.0012212
120,16508,1.65635,3.48844,1.35095,1.44527,0.30277,0.30034,0.23776,0.11471,0.06015,0.09393,0.02743,0.00892,1.76273,3.81897,1.61796,1.53893,0.0012146,0.0012146,0.0012146
121,16643.2,1.67795,3.52246,1.3607,1.42711,0.29037,0.27953,0.22025,0.10566,0.0671,0.08745,0.02862,0.00938,1.79007,3.87094,1.70711,1.54013,0.001208,0.001208,0.001208
122,16756.2,1.6672,3.48585,1.33563,1.44163,0.26926,0.26537,0.20371,0.0983,0.06892,0.08812,0.03235,0.01021,1.79271,3.97619,1.7895,1.55603,0.0012014,0.0012014,0.0012014
123,16880,1.66824,3.48715,1.34851,1.43587,0.27963,0.28096,0.2111,0.10328,0.06437,0.08585,0.02937,0.00998,1.77939,3.86765,1.70959,1.57091,0.0011948,0.0011948,0.0011948
